Year,AG,CK,CM,FE,JT,PT,PV,EV,IV,BD,CS,GB,MM,FK,OR,SC
2014,62.9002075732594,60.1414270978985,122.508653192712,112.374950615135,69.1237916079434,68.6448344193496,101.604445905571,85.8371308979235,99.1494041806176,196.918043106321,121.954483261108,154.11768016701,135.797738517203,84.3759368855685,96.0050344848633,67.7604432167413
2015,79.7288202634999,77.6831644809607,118.019538956201,134.877146849761,89.8208477135861,80.9735531497311,135.271561312388,125.166189896433,126.135508037749,220.643029106988,147.636257553101,192.063538328616,150.972087953149,111.084376534039,136.757469685872,113.720326468668
2016,108.862934596102,100.067753502817,148.745148780362,173.913815884977,124.098262786865,107.90780203683,169.413559971086,155.914516167892,162.254238927932,253.525833129883,181.198137512207,233.473835836628,189.524249379228,130.114051574054,153.208469340007,109.458101919281
2017,95.3619796323105,93.4055816910484,98.9807226193831,103.520702207411,113.452541524714,91.1072854376459,114.856833676258,109.339118555972,104.961748976935,156.104143415179,129.954336700439,158.440597945345,123.401306059302,118.288967275365,134.01474802653,92.9589194105418
2018,75.4198936677315,74.2599707083269,91.1189424399562,118.51434094197,97.7051222830108,98.958675533146,121.403904190983,113.508124341463,118.716861979167,165.727515326606,120.431925964355,178.114383857407,125.987891220465,107.819077476461,140.050578511556,97.53325479532
2019,154.641132301008,144.933703046856,206.247617580747,227.262981105495,180.775504314538,160.546311811967,233.670996976186,212.522201377467,218.596850731259,351.090364002046,276.046923980713,302.446394046624,277.769785253013,224.628458359662,246.797413533529,184.405342134795
2020,80.3202890745351,84.5749920064753,91.1595439014819,84.9195313324799,100.619107506492,92.8766998687348,82.3637230195195,72.6038756119577,76.261669594901,112.844702463301,92.1968526077271,98.2867747780806,89.7244227339582,123.90842556061,129.091642252604,102.98389493754
2021,69.0668422000509,66.4812841270909,73.4348433065734,96.6189846348118,78.5297911094897,72.6006573763761,96.9483424726739,107.761016122918,111.046009481521,204.853790525406,115.297484741211,156.790804925793,128.789448528755,81.1569056791418,101.045109812419,62.7612123612171
2022,76.0576929978921,73.7943846240188,107.333432908026,104.901403839524,92.5808752811316,87.2918353390384,94.9766637043781,89.5527714779502,99.9295342944917,168.469116937547,106.223288955688,148.439462444739,110.467127823248,58.6581993103027,86.1671816507975,52.7016870392239
2023,114.200936545788,111.431902134057,128.865903713559,147.32551677807,154.138944683653,133.242031840535,152.079149544957,153.516331401624,166.825898197719,311.085354517377,225.868496398926,244.760044943073,222.956006678139,292.428511267677,231.451741739909,222.942498399464
2024,59.5117771524779,60.2921987446872,89.1356630261312,106.929146998637,68.5360681360418,65.9349547547179,105.204855309912,95.0291534423828,111.061558242071,160.427399287148,103.270330352783,122.689407028838,102.116908282768,150.637805632729,137.748990275065,132.353348465948
